#af1hpr,up_slope,under_slope,sum_slope
427.0,-0.064028,0.028333,-0.035695000000000005
-303.0,-0.033519,0.000694,-0.032825
-1060.5,0.006923,0.051667,0.058589999999999996
-126.5,-0.112222,0.013333,-0.098889
-173.0,-0.004308,0.011944,0.0076359999999999996
623.5,-0.104444,0.402963,0.29851900000000003
240.5,-0.006572,0.073434,0.066862
1327.0,-0.094444,-0.407407,-0.501851
-20.5,-0.041806,0.304815,0.263009
-330.0,-0.146852,0.155417,0.00856499999999999
-432.5,-0.058333,0.025995,-0.032338000000000006
623.0,0.570556,0.044954,0.61551
-485.5,0.21537,0.136111,0.35148100000000004
-384.5,0.027407,0.015648,0.043054999999999996
-338.0,-0.029815,0.142222,0.11240699999999998
424.5,-0.096667,0.195926,0.09925899999999999
483.0,-0.139444,0.617778,0.47833400000000004
-25.5,-0.079074,0.051667,-0.027407000000000008
-203.0,-0.006795,0.066111,0.059316
-846.0,0.109722,0.043704,0.153426
-47.5,-0.001531,0.006111,0.00458
25.5,-0.003056,0.07037,0.067314
-73.0,-0.041667,0.090926,0.049259000000000004
294.0,-0.004931,0.028889,0.023958
-0.5,0.002821,0.08037,0.083191
-172.0,-0.000233,0.006667,0.0064340000000000005
-224.5,-0.018148,0.012778,-0.0053700000000000015
-262.0,-0.092593,0.008778,-0.083815
-130.0,-0.012857,0.053519,0.040662
-221.5,0.048889,0.050741,0.09963
294.5,0.005139,0.026111,0.03125
149.0,-0.005855,0.009697,0.003842000000000001
-91.0,-0.002646,0.007381,0.0047350000000000005
-101.5,-0.028889,0.045833,0.016943999999999997
-94.5,-0.031667,0.019815,-0.011852000000000001
263.5,-0.003889,0.036574,0.032685000000000006
-59.5,-0.003481,0.056296,0.052815
164.5,-0.034306,0.024792,-0.009514000000000002
-135.0,-0.000936,0.122407,0.121471
420.0,0.014667,0.059444,0.074111
151.5,-0.003019,0.051111,0.048091999999999996
-7.5,-0.03254,0.020741,-0.011799
59.5,-0.339444,0.07119,-0.268254
124.0,-0.033889,0.003556,-0.030333000000000002
-105.0,-0.012593,0.00061,-0.011983
150.5,-0.01125,0.002951,-0.008298999999999999
-9.5,-0.001019,0.000688,-0.0003309999999999999
-122.5,-0.000595,0.041111,0.040516
343.0,-0.000714,0.016481,0.015767
-49.5,-0.016481,0.072222,0.055741
137.5,-0.003452,0.007667,0.004215
69.0,-0.007222,0.031667,0.024445
-23.0,-0.032593,0.000044,-0.032548999999999995
-145.0,-0.007677,0.059111,0.051433999999999994
-120.0,-0.022778,-0.011806,-0.034584000000000004
-109.5,-0.024,0.008704,-0.015296
-6.5,-0.000536,0.000667,0.00013099999999999993
-53.0,-0.001111,0.027407,0.026296
-40.5,-0.016852,0.007917,-0.008934999999999998
52.0,-0.009444,0.022619,0.013175000000000001
48.5,-0.016667,0.00817,-0.008497000000000001
